Node,U_down,U_up
0,2.72467E-34,0
2.997005939,0.000322891,0.000356181
5.994011879,0.001297149,0.001064441
8.991018295,0.002743181,0.002021722
11.98802376,0.00479402,0.003309488
14.98503017,0.007115353,0.004719533
17.98203659,0.010030543,0.006442341
20.97904205,0.013129986,0.008223172
23.97604752,0.016792448,0.010284641
26.97305298,0.020619035,0.012380025
29.97006035,0.024956213,0.014712069
32.96706772,0.029448997,0.017061127
35.96407318,0.034396559,0.019601295
38.96107864,0.039489329,0.022140453
41.95808411,0.044983901,0.024827
44.95508957,0.050609428,0.027492166
47.95209503,0.056587275,0.030263128
50.94910049,0.062678583,0.03299037
53.94610596,0.069075488,0.035783481
56.94311523,0.075566001,0.038509116
59.9401207,0.082317397,0.041261904
62.93712616,0.08914078,0.043922395
65.93413544,0.096181914,0.046572268
68.93113708,0.103272028,0.049104184
71.92814636,0.110537991,0.051588457
74.92514801,0.117828779,0.053928442
77.92215729,0.125254586,0.0561844
80.91915894,0.132680088,0.058269128
83.91616821,0.140200704,0.060234014
86.91316986,0.14769499,0.062000196
89.91017914,0.155245319,0.063611224
92.90718842,0.162742525,0.064995624
95.90419006,0.170257419,0.066189989
98.90119934,0.177691698,0.067129381
101.898201,0.185105994,0.067844264
104.8952103,0.192411557,0.068275467
107.8922119,0.199660033,0.068448044
110.8892212,0.20677112,0.068307906
113.8862305,0.213788539,0.067875341
116.8832321,0.220639423,0.067100748
119.8802414,0.227360487,0.066000216
122.877243,0.233885482,0.064528137
125.8742523,0.240244895,0.062696852
128.8712616,0.246378332,0.060464293
131.8682709,0.252310753,0.057839539
134.8652649,0.257986933,0.054783706
137.8622742,0.263427049,0.051302981
140.8592834,0.268580407,0.047361337
143.8562927,0.273462832,0.042962618
146.8532867,0.278027654,0.038073614
149.850296,0.282287031,0.032696549
152.8473053,0.286197811,0.026802015
155.8443146,0.289768696,0.020394629
158.8413239,0.292959809,0.013462683
161.8383179,0.295776814,0.006115928
164.8353271,0.298182666,0.003113201
167.8323364,0.300180405,0.011254008
170.8293457,0.301735431,0.020496363
173.8263397,0.302848458,0.030409841
176.823349,0.303487092,0.04098415
179.8203583,0.303650022,0.052217357
182.8173676,0.303306699,0.064130262
185.8143768,0.302454025,0.076729432
188.8113708,0.301063269,0.090036996
191.8083801,0.299129575,0.104061671
194.8053894,0.296625763,0.11882513
197.8023987,0.293545604,0.134337112
200.799408,0.289863229,0.150618628
203.796402,0.285571158,0.167680264
206.7934113,0.280644745,0.185542449
209.7904205,0.275075257,0.20421657
212.7874298,0.26883924,0.22372219
215.7844238,0.261926919,0.244071364
218.7814331,0.254315794,0.265283257
221.7784424,0.245995134,0.287370443
224.7754517,0.236943394,0.310351431
227.7724609,0.22714895,0.334239453
230.769455,0.21659115,0.359052181
233.7664642,0.20525746,0.384803802
236.7634735,0.193127975,0.411511451
239.7604828,0.180189565,0.439189494
242.7574921,0.166422963,0.467854768
245.7544861,0.151814446,0.497521907
248.7514954,0.136345252,0.528207541
251.7485046,0.120000996,0.559926927
254.7455139,0.102763712,0.592695892
257.7425232,0.084618345,0.626530111
260.7395325,0.065547496,0.661445022
263.7365417,0.045535531,0.697457016
266.7335205,0.024565862,0.734580338
269.7305298,0.002621864,0.772832632
272.7275391,-0.02031251,0.812227964
275.7245483,-0.044254027,0.852783442
278.7215576,-0.069218367,0.894513071
281.7185669,-0.095222853,0.937434435
284.7155762,-0.122282594,0.981561065
287.7125854,-0.15041551,1.026911139
290.7095947,-0.179636121,1.073497534
293.7065735,-0.209962606,1.121338367
296.7035828,-0.241409481,1.17044723
299.700592,-0.273995608,1.2208426
302.6976013,-0.307734162,1.272536516
305.6946106,-0.342645079,1.325548649
308.6916199,-0.378740788,1.379890084
311.6886292,-0.416041911,1.435581565
314.6856384,-0.454560101,1.492633343
317.6826477,-0.494316906,1.551066995
320.6796265,-0.535322607,1.610890865
323.6766357,-0.57760042,1.672128916
326.673645,-0.621159852,1.734788895
329.6706543,-0.666024208,1.798894167
332.6676636,-0.712202251,1.864451885
335.6646729,-0.759718478,1.931486964
338.6616821,-0.808580577,2.000005007
341.6586914,-0.85881412,2.070032597
344.6557007,-0.910425544,2.141573429
347.6526794,-0.963441253,2.214654684
350.6496887,-1.017867327,2.289280891
353.646698,-1.073731661,2.365480185
356.6437073,-1.131037712,2.443253994
359.6407166,-1.189815521,2.522633076
362.6377258,-1.250066757,2.603616714
365.6347351,-1.311823487,2.686237812
368.6317444,-1.375085115,2.770493746
371.6287537,-1.439886093,2.856419802
374.6257629,-1.50622344,2.944010019
377.6227417,-1.574133277,3.03330183
380.619751,-1.64361155,3.124288797
383.6167603,-1.714697003,3.217010736
386.6137695,-1.787381172,3.31145668
389.6107788,-1.861706972,3.407670021
392.6077881,-1.937662363,3.50563693
395.6047974,-2.015293598,3.605404139
398.6018066,-2.094585419,3.706954002
401.5988159,-2.175587654,3.810337305
404.5957947,-2.2582798,3.915531158
407.592804,-2.342718363,4.022593021
410.5898132,-2.428877592,4.131494522
413.5868225,-2.51681757,4.242297173
416.5838318,-2.606508017,4.354967594
419.5808411,-2.698015213,4.469573021
422.5778503,-2.791301727,4.586073875
425.5748596,-2.886440992,4.704543591
428.5718689,-2.983388424,4.82493782
431.5688477,-3.082223892,4.947332859
434.5658569,-3.182897806,5.071681023
437.5628662,-3.285495758,5.198065758
440.5598755,-3.389962673,5.326431751
443.5568848,-3.496387482,5.456865788
446.553894,-3.604716539,5.589315414
449.5509033,-3.715036154,5.723864555
452.5404358,-3.827014923,5.860121727
455.5299988,-3.941007376,5.998501301
458.5195313,-4.056963921,6.138950825
461.5090637,-4.174962521,6.281551361
464.4986267,-4.294958591,6.426253319
467.4881592,-4.417020321,6.573128223
470.4776917,-4.541110516,6.722132206
473.4672546,-4.667292595,6.873334885
476.4567871,-4.795534134,7.026692867
479.4463196,-4.925888538,7.182269096
482.4358826,-5.058336735,7.340032578
485.425415,-5.192918301,7.500031948
488.4149475,-5.329623699,7.662243366
491.4045105,-5.468485832,7.826713562
494.394043,-5.609500408,7.993420601
497.383606,-5.752691269,8.162403107
500.3731384,-5.89806366,8.333644867
503.3626709,-6.045629978,8.507180214
506.3522339,-6.195407867,8.683000565
509.3417664,-6.347396374,8.8611269
512.3312988,-6.501621723,9.041558266
515.3208618,-6.65807724,9.224313736
518.3103638,-6.816791534,9.409391403
521.2999268,-6.977752686,9.596806526
524.2894897,-7.141000748,9.786568642
527.2790527,-7.30650568,9.978673935
530.2685547,-7.474317551,10.17313766
533.2581177,-7.64440155,10.36996078
536.2476807,-7.81681776,10.56916332
539.2371826,-7.991509438,10.77072334
542.2267456,-8.168558121,10.97468185
545.2163086,-8.347893715,11.18100834
548.2058105,-8.529598236,11.38973713
551.1953735,-8.713600159,11.60084343
554.1849365,-8.89999485,11.81436634
557.1744385,-9.088681221,12.03026295
560.1640015,-9.279782295,12.24859047
563.1535645,-9.473180771,12.4692955
566.1430664,-9.669003487,12.69243145
569.1326294,-9.867124557,12.91794777
572.1221924,-10.0676918,13.14590645
575.1116943,-10.27054405,13.3762331
578.1012573,-10.4758625,13.6090126
581.0908203,-10.68346119,13.84415817
584.0803223,-10.89353371,14.08175182
587.0698853,-11.10587883,14.32170868
590.0594482,-11.32071781,14.56412029
593.0489502,-11.53780365,14.80887318
596.0385132,-11.75740433,15.05608749
599.0280762,-11.97923565,15.30563545
602.0175781,-12.20358849,15.55763531
605.0071411,-12.43015194,15.81195641
607.9967041,-12.65925694,16.06873322
610.9862061,-12.89053249,16.32780075
613.975769,-13.12437344,16.58932877
616.965332,-13.36035156,16.85313034
619.954895,-13.59891129,17.11938286
622.944397,-13.8395586,17.3878746
625.93396,-14.08281517,17.65882301
628.9235229,-14.32811356,17.93198395
631.9130249,-14.57603645,18.20758438
634.9025879,-14.82595158,18.48537064
637.8921509,-15.07851982,18.76559448
640.8816528,-15.33302307,19.04796219
643.8712158,-15.59018993,19.33276176
646.8607788,-15.84926796,19.61967468
649.8502808,-16.1109581,19.90898705
652.8430176,-16.37482834,20.2006855
655.8357544,-16.64124298,20.49476814
658.8284912,-16.90952873,20.79086304
661.821228,-17.18028259,21.08930779
664.8139648,-17.45287704,21.38971138
667.8067017,-17.72788048,21.69241905
670.7994385,-18.00470352,21.99705887
673.7921753,-18.28387642,22.30394173
676.7849121,-18.56485558,22.61273956
679.7776489,-18.84811974,22.92372704
682.7703857,-19.13318062,23.23660469
685.7630615,-19.42045403,23.55160904
688.7557983,-19.70951653,23.86849213
691.7485352,-20.00073433,24.18745422
694.741272,-20.29372215,24.50826263
697.7340088,-20.58880424,24.83109665
700.7267456,-20.88563728,25.155756
703.7194824,-21.18450928,25.48238754
706.7122192,-21.48511124,25.81082153
709.7049561,-21.78769684,26.14117432
712.6976929,-22.09199142,26.47330284
715.6904297,-22.39821434,26.80730629
718.6831665,-22.70612144,27.14304924
721.6759033,-23.01590729,27.48062515
724.6686401,-23.32735062,27.81990814
727.6613159,-23.64061737,28.1609745
730.6540527,-23.95552063,28.50372124
733.6467896,-24.27220345,28.8482132
736.6395264,-24.59048843,29.19434929
739.6322632,-24.9105072,29.54218292
742.625,-25.23209953,29.89163208
745.6177368,-25.55537796,30.24273682
748.6104736,-25.88019753,30.59541702
751.6032104,-26.20665932,30.94971275
754.5959473,-26.53463173,31.30555534
757.5886841,-26.8642025,31.66296768
760.5814209,-27.19525146,32.02188873
763.5741577,-27.52785301,32.38234329
766.5668945,-27.86190033,32.74427032
769.5595703,-28.19745064,33.10768127
772.5523071,-28.53442192,33.47253799
775.5450439,-28.87286186,33.8388443
778.5377808,-29.21267891,34.20655823
781.5305176,-29.55392265,34.57567596
784.5232544,-29.89651108,34.94616318
787.5159912,-30.24048233,35.31802368
790.508728,-30.58576584,35.6912117
793.5014648,-30.93239212,36.06573105
796.4942017,-31.28029251,36.44153976
799.4869385,-31.62949562,36.81864548
802.4796753,-31.97994041,37.19701004
805.4724121,-32.33164597,37.57662582
808.4651489,-32.68455505,37.95746231
811.4578247,-33.03868103,38.33950424
814.4505615,-33.39398193,38.72273636
817.4432983,-33.75046158,39.1071434
820.4360352,-34.108078,39.49269867
823.428772,-34.46683502,39.87939072
826.4215088,-34.82669067,40.26718903
829.4142456,-35.18764877,40.65608597
832.4069824,-35.54966354,41.04605865
835.3997192,-35.91274643,41.43708801
838.3924561,-36.27685165,41.82915115
841.3851929,-36.64197922,42.22224045
844.3779297,-37.0080986,42.61632156
847.3706665,-37.37520218,43.01139069
850.3634033,-37.74325562,43.40741348
853.3560791,-38.11224747,43.80437851
856.3488159,-38.48216248,44.20227051
859.3415527,-38.85298538,44.6010704
862.3342896,-39.22468185,45.00075912
865.3270264,-39.59725189,45.40130997
868.3197632,-39.97066116,45.80270767
871.3125,-40.34490204,46.2049408
874.3052368,-40.71994781,46.60798264
877.2979736,-41.09578323,47.01182175
880.2907104,-41.47238922,47.41642761
883.2834473,-41.8497467,47.82178879
886.2761841,-42.22783279,48.2278862
889.2689209,-42.60663605,48.63470078
892.2616577,-42.98612976,49.04220963
895.2543335,-43.36629868,49.45038986
898.2470703,-43.74712372,49.85924149
901.2398071,-44.12859344,50.26873016
904.2325439,-44.51068115,50.67884064
907.2252808,-44.89336777,51.08955765
910.2180176,-45.27663803,51.50085831
913.2107544,-45.66047287,51.91272354
916.2034912,-46.04484558,52.32513809
919.196228,-46.42975235,52.73807907
922.1889648,-46.81515884,53.1515274
925.1817017,-47.20105743,53.56547165
928.1744385,-47.58742142,53.97988129
931.1671753,-47.97423935,54.39474487
934.1599121,-48.36148453,54.81003952
937.1525879,-48.74913788,55.22574997
940.1453247,-49.13719177,55.64185333
943.1380615,-49.52562332,56.05833817
946.1307983,-49.91440964,56.47518539
949.1235352,-50.30353165,56.89236832
952.116272,-50.69297409,57.30987549
955.1090088,-51.0827179,57.72768021
958.1017456,-51.47274017,58.14577103
961.0944824,-51.86302948,58.56412506
964.0872192,-52.25355911,58.98272705
967.0799561,-52.64431381,59.40155411
970.0726929,-53.03527451,59.82058716
973.0654297,-53.42642593,60.23981094
976.0581665,-53.81774521,60.65920258
979.0508423,-54.20920563,61.07873917
982.0435791,-54.600811,61.49842453
985.0363159,-54.99252319,61.91821671
988.0290527,-55.38434982,62.33811951
991.0217896,-55.77622604,62.75807571
994.0145264,-56.16817474,63.17810822
997.0072632,-56.56007004,63.5980835
1000,-56.9519043,64.01800537
